COUNTRY,YEAR,DISEASE NAME,SEX CODE,DEATH RATE PER 100K
AFG,2021,Syphilis,FEMALE,1.4
AFG,2021,Genital herpes,FEMALE,0
AFG,2021,Diphtheria,FEMALE,0.1
AFG,2021,African trypanosomiasis,FEMALE,0
AFG,2021,Dengue,FEMALE,0
AFG,2021,Rabies,FEMALE,0.05
AFG,2021,Lower respiratory infections,FEMALE,35.8
AFG,2021,Vitamin A deficiency,FEMALE,0
AFG,2021,Liver cancer,FEMALE,1.79
AFG,2021,Bladder cancer,FEMALE,0.2
AFG,2021,Larynx cancer,FEMALE,0.18
AFG,2021,Thalassaemias,FEMALE,0.22
AFG,2021,Bipolar disorder,FEMALE,0
AFG,2021,Rheumatic heart disease,FEMALE,1.98
AFG,2021,Urolithiasis,FEMALE,0.08
AFG,2021,Back and neck pain,FEMALE,0
AFG,2021,Oral conditions,FEMALE,0
AFG,2021,Sudden infant death syndrome,FEMALE,0.34
AFG,2021,"Fire, heat and hot substances",FEMALE,2.16
AFG,2021,Tuberculosis,FEMALE,33.05
AFG,2021,HIV/AIDS,FEMALE,1.17
AFG,2021,Acute hepatitis B,FEMALE,3.5
AFG,2021,Onchocerciasis,FEMALE,0
AFG,2021,Protein-energy malnutrition,FEMALE,2.09
AFG,2021,Stomach cancer,FEMALE,3.74
AFG,2021,Ovary cancer,FEMALE,1.8
AFG,2021,Childhood behavioural disorders,FEMALE,0
AFG,2021,Non-migraine headache,FEMALE,0
AFG,2021,Chronic obstructive pulmonary disease,FEMALE,18.99
AFG,2021,Gastritis and duodenitis,FEMALE,0.16
AFG,2021,Inflammatory bowel disease,FEMALE,0.15
AFG,2021,Kidney diseases,FEMALE,24.08
AFG,2021,Osteoarthritis,FEMALE,0
AFG,2021,Poisonings,FEMALE,2.11
AFG,2021,Exposure to mechanical forces,FEMALE,2.42
AFG,2021,Collective violence and legal intervention,FEMALE,44.38
AFG,2021,Trichomoniasis,FEMALE,0
AFG,2021,Meningitis,FEMALE,3.95
AFG,2021,Leishmaniasis,FEMALE,0.01
AFG,2021,Yellow fever,FEMALE,0
AFG,2021,Trichuriasis,FEMALE,0
AFG,2021,Mouth and oropharynx cancers,FEMALE,1.56
AFG,2021,Cervix uteri cancer,FEMALE,4.22
AFG,2021,Testicular cancer,FEMALE,0
AFG,2021,Kidney cancer,FEMALE,0.51
AFG,2021,Diabetes mellitus,FEMALE,22.19
AFG,2021,Eating disorders,FEMALE,0
AFG,2021,Multiple sclerosis,FEMALE,0.14
AFG,2021,Other vision loss,FEMALE,0
AFG,2021,Self-harm,FEMALE,2.36
AFG,2021,Chlamydia,FEMALE,0
AFG,2021,Measles,FEMALE,34.07
AFG,2021,Acute hepatitis E,FEMALE,0.05
AFG,2021,Chagas disease,FEMALE,0
AFG,2021,Echinococcosis,FEMALE,1.11
AFG,2021,Food-bourne trematodes,FEMALE,0
AFG,2021,Leprosy,FEMALE,0
AFG,2021,Maternal conditions,FEMALE,60.27
