IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,UNIT,VALUE
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Afghanistan,Percentage,90.01741149
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Afghanistan,Percentage,9.380356531
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Afghanistan,Percentage,86.84330484
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Afghanistan,Percentage,11.38179469
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Afghanistan,Percentage,21.76499005
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Albania,Percentage,44.26229508
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Albania,Percentage,57.14285714
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Albania,Percentage,43.24324324
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Albania,Percentage,56.66666667
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Albania,Percentage,31.11111111
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Algeria,Percentage,10.91
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Algeria,Percentage,32.95371941
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,American Samoa,Percentage,0
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,American Samoa,Percentage,28
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Andorra,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Andorra,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Andorra,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Andorra,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Andorra,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Antigua and Barbuda,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Antigua and Barbuda,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Antigua and Barbuda,Percentage,83.33333333
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Antigua and Barbuda,Percentage,75
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Armenia,Percentage,94.30011632
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Armenia,Percentage,89.13250715
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Tunisia,Percentage,85.52734375
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Tunisia,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Tunisia,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Türkiye,Percentage,81.07248353
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Türkiye,Percentage,80.62658126
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Türkiye,Percentage,79.99256229
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Türkiye,Percentage,83.72374354
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Türkiye,Percentage,85.33566182
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Turkmenistan,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Turkmenistan,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2021,Turkmenistan,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2022,Turkmenistan,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2019,Turks and Caicos Islands,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Turks and Caicos Islands,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2023,Tuvalu,Percentage,100
CF339A994C7B13,TB_newinc_con_screen_prct,Percentage of household contacts (or all close contacts) who were evaluated for TB,2020,Uganda,Percentage,74.00552328
